nome;longitude;latitude;bandeira
Posto do Beto;-42.878708;-20.755072;Petrobrás
Posto Caçula;-42.876965;-20.753766;Shell
Santa Rosa;-42.879226;-20.756487;Shell
Tiger Express;-42.879079;-20.756783;Shell
Ale;-42.875647;-20.757047;ALE
Posto Viçosa;-42.880530;-20.757366;Petrobrás
Posto Líder;-42.878810;-20.736345;Zema
Posto Tip Top;-42.864382;-20.733364;Ipiranga
Posto Gentil;-42.870667;-20.751523;Sem Bandeira
Posto Castelo Branco;-42.869840;-20.750864;Sem Bandeira
Posto Millenium;-42.865770;-20.745482;Petrobrás
